hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
10commandments	1476701921893257236	4.230303	.001396	.000330	1	716	6	18162
2022election	779833230	25.381818	.001396	.000055	1	716	1	18162
4corners	556601571	5.076363	.001396	.000275	1	716	5	18162
500kwithnatouch	1305795361336770560	12.695454	.002793	.000220	2	716	4	18162
609bedtimestory	720420236076277760	3.044331	.004189	.001376	3	716	25	18162
60mins	90107770	4.230303	.001396	.000330	1	716	6	18162
60minutes	90107770	25.381818	.001396	.000055	1	716	1	18162
abc730	524939820	.367465	.001396	.003799	1	716	69	18162
abcbias	1373530219273875457	12.690909	.001396	.000110	1	716	2	18162
abed	20821069	.126140	.001396	.011067	1	716	201	18162
ableg	997519418492993537	.363784	.015363	.042231	11	716	767	18162
ableism	5439842	4.230303	.001396	.000330	1	716	6	18162
abpoli	997519418492993537	.365787	.004189	.011452	3	716	208	18162
abusiveavi	190154112	12.690909	.001396	.000110	1	716	2	18162
actu	1415515867857637380	25.381818	.001396	.000055	1	716	1	18162
admiraltylaw	4830874006	25.381818	.001396	.000055	1	716	1	18162
ag	2968186857	25.381818	.001396	.000055	1	716	1	18162
agedcare	338219529	4.760227	.004189	.000880	3	716	16	18162
ago	2264401871	25.381818	.001396	.000055	1	716	1	18162
alberta	1443349716943572995	.528387	.001396	.002642	1	716	48	18162
albo4pm	958685436112658432	4.475427	.004189	.000936	3	716	17	18162
alboforpm	828561216918335489	3.064610	.025139	.008203	18	716	149	18162
albopm2022	1089045346242576385	25.381818	.001396	.000055	1	716	1	18162
alexhawke	403796945	8.460606	.001396	.000165	1	716	3	18162
alp	284475942	4.230303	.001396	.000330	1	716	6	18162
amazon	1497454353090809860	5.642424	.002793	.000495	2	716	9	18162
anexprience	41438148	25.381818	.001396	.000055	1	716	1	18162
angusgate	1573800344	25.381818	.001396	.000055	1	716	1	18162
annihilatelnp	1573800344	5.858741	.004189	.000715	3	716	13	18162
annihilatelnpcrooks	1573800344	25.381818	.001396	.000055	1	716	1	18162
announceables	1573800344	25.381818	.001396	.000055	1	716	1	18162
astrazeneca	94350709	2.307438	.001396	.000605	1	716	11	18162
astrology	517105402	25.381818	.001396	.000055	1	716	1	18162
astronomy	517105402	2.820202	.001396	.000495	1	716	9	18162
auspoi	925679969224634368	2.307438	.001396	.000605	1	716	11	18162
auspol	1573800344	1.261744	.107541	.085232	77	716	1548	18162
auspol2022	923839146077986821	1.491987	.002793	.001872	2	716	34	18162
auspol22	48367770	5.076363	.001396	.000275	1	716	5	18162
auspoll	84174241	2.538181	.001396	.000550	1	716	10	18162
auspolsocorrupt	1573800344	8.463636	.002793	.000330	2	716	6	18162
australia	84174241	3.805177	.008379	.002202	6	716	40	18162
australiahasfallen	962092001154940928	8.460606	.001396	.000165	1	716	3	18162
ausvotes	90107770	1.234670	.015363	.012443	11	716	226	18162
ausvotes2022	90107770	1.074803	.006983	.006497	5	716	118	18162
ausvotes22	3423997089	1.586363	.001396	.000880	1	716	16	18162
author	41719739	8.460606	.001396	.000165	1	716	3	18162
authorsoftwitter	1497454353090809860	19.040909	.004189	.000220	3	716	4	18162
autoimmuneconditions	275104144	25.381818	.001396	.000055	1	716	1	18162
azovbatallion	1240682348120866816	25.381818	.001396	.000055	1	716	1	18162
azovnazis	1240682348120866816	25.381818	.001396	.000055	1	716	1	18162
ba2	26973844	.951180	.004189	.004404	3	716	80	18162
bancongressionalstock	147649467	25.381818	.001396	.000055	1	716	1	18162
bccrss	4830874006	1.441279	.006983	.004845	5	716	88	18162
bcpoli	246667561	.127418	.001396	.010956	1	716	199	18162
beaheroforvotingrights	493606253	7.254545	.002793	.000385	2	716	7	18162
befierce	22875032	25.381818	.001396	.000055	1	716	1	18162
benghazi	1369880235064258571	25.381818	.001396	.000055	1	716	1	18162
berejiklian	90107770	25.381818	.001396	.000055	1	716	1	18162
berkshire	1446484946294644739	8.460606	.001396	.000165	1	716	3	18162
betoforgovernor	96648433	.603806	.001396	.002312	1	716	42	18162
betofortexas	96648433	1.729562	.004189	.002422	3	716	44	18162
bidenboom	20403317	1.812459	.002793	.001541	2	716	28	18162
bidendelivers	356546958	8.460606	.001396	.000165	1	716	3	18162
bidenstrong	1346847727536238595	8.460606	.001396	.000165	1	716	3	18162
big12	897180245006180352	25.381818	.001396	.000055	1	716	1	18162
biggestloser	738145794	25.381818	.001396	.000055	1	716	1	18162
bigot	1363558112498749441	25.381818	.001396	.000055	1	716	1	18162
birthcertificatefraud	4830874006	1.408678	.001396	.000991	1	716	18	18162
blickblick	892503488193855488	6.345454	.001396	.000220	1	716	4	18162
blogger	41719739	25.381818	.001396	.000055	1	716	1	18162
bnefloods	552543142	25.381818	.001396	.000055	1	716	1	18162
boe	1387010761994682371	5.076363	.001396	.000275	1	716	5	18162
boebert	2372317417	12.690909	.001396	.000110	1	716	2	18162
bolshevik	1240682348120866816	25.381818	.001396	.000055	1	716	1	18162
bootlnpout	779833230	12.690909	.001396	.000110	1	716	2	18162
borisjohnson	4757894056	.426282	.002793	.006552	2	716	119	18162
borisjohnsonout	303324434	1.586363	.001396	.000880	1	716	16	18162
boristheliar	1222196905947680768	1.692121	.001396	.000825	1	716	15	18162
boycottdelta	18831926	12.690909	.001396	.000110	1	716	2	18162
boycottfaroeislands	1387314750883831810	25.381818	.001396	.000055	1	716	1	18162
boycottwalgreens	335600262	7.254545	.002793	.000385	2	716	7	18162
brain	275104144	5.076363	.001396	.000275	1	716	5	18162
brexit	872158753008877569	.733123	.006983	.009525	5	716	173	18162
brexitdisaster	1222196905947680768	1.207612	.001396	.001156	1	716	21	18162
brexithasfailed	3065680671	1.586363	.001396	.000880	1	716	16	18162
brexitshambles	1222196905947680768	1.952447	.001396	.000715	1	716	13	18162
britain	517105402	3.172727	.001396	.000440	1	716	8	18162
britneyspears	1461182536604860417	25.381818	.001396	.000055	1	716	1	18162
bru2301	1474852997020758024	25.381818	.001396	.000055	1	716	1	18162
bruxelles	1474852997020758024	12.690909	.001396	.000110	1	716	2	18162
bucha	1253892943544381440	.269758	.001396	.005175	1	716	94	18162
budgetreply	84174241	5.076363	.001396	.000275	1	716	5	18162
bussin	2706903578	1.491452	.001396	.000936	1	716	17	18162
callanelection	1314346745086709760	25.381818	.001396	.000055	1	716	1	18162
calltheelection	17939958	6.345454	.001396	.000220	1	716	4	18162
calltheelectionffffffhead	1017039921255624705	1.692121	.001396	.000825	1	716	15	18162
cancers	275104144	12.690909	.001396	.000110	1	716	2	18162
candyno	51241418	25.381818	.001396	.000055	1	716	1	18162
capitalism	1240682348120866816	.603806	.001396	.002312	1	716	42	18162
carrieantoinette	985146235039506432	3.625974	.001396	.000385	1	716	7	18162
cashlessdebitcard	48367770	3.625974	.001396	.000385	1	716	7	18162
cashlesswelfarecard	48367770	10.156363	.002793	.000275	2	716	5	18162
catch22	4830874006	12.690909	.001396	.000110	1	716	2	18162
catsneedingrescue	1111339958852308994	25.381818	.001396	.000055	1	716	1	18162
catsofukraine	1111339958852308994	12.690909	.001396	.000110	1	716	2	18162
caturday	2264401871	1.692121	.001396	.000825	1	716	15	18162
chelsea	517105402	25.381818	.001396	.000055	1	716	1	18162
childtaxcredit	39130254	5.076363	.001396	.000275	1	716	5	18162
cleanenergy	1083495635561541632	2.538181	.001396	.000550	1	716	10	18162
climatecrisis	1573800344	.224401	.001396	.006221	1	716	113	18162
climateemergency	1573800344	.551342	.001396	.002532	1	716	46	18162
clivepalmer	2921282954	8.460606	.001396	.000165	1	716	3	18162
closetheskyoverukraine	1332768934383263745	1.812987	.001396	.000770	1	716	14	18162
colouroflaw	4830874006	25.381818	.001396	.000055	1	716	1	18162
commerce	4830874006	25.381818	.001396	.000055	1	716	1	18162
commonlaw	4830874006	12.690909	.001396	.000110	1	716	2	18162
comparethepair	91039220	25.381818	.001396	.000055	1	716	1	18162
completepsycho	1190788202736435200	12.690909	.001396	.000110	1	716	2	18162
contracts	1387010761994682371	25.381818	.001396	.000055	1	716	1	18162
corrupt	2751873404	6.345454	.001396	.000220	1	716	4	18162
corruptgop	1219694667694006273	5.076363	.001396	.000275	1	716	5	18162
corrupttoriesout	1222196905947680768	5.076363	.001396	.000275	1	716	5	18162
costoflivingcrisis	1446484946294644739	.939455	.002793	.002973	2	716	54	18162
coutts	1443349716943572995	1.812987	.001396	.000770	1	716	14	18162
covid	94350709	.603935	.013966	.023125	10	716	420	18162
covid19	893479800	.193379	.016759	.086664	12	716	1574	18162
covid19ab	1436479905450004482	.096776	.001396	.014425	1	716	262	18162
covid19au	17698525	8.460606	.001396	.000165	1	716	3	18162
covid19aus	923839146077986821	.507083	.001396	.002753	1	716	50	18162
