hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
10commandments	1387010761994682371	1.875757	.000619	.000330	2	3227	6	18162
1619project	45379403	3.585123	.002169	.000605	7	3227	11	18162
17thcentury	45379403	5.618181	.000309	.000055	1	3227	1	18162
1a	614600545	5.618181	.000309	.000055	1	3227	1	18162
1b	614600545	5.618181	.000309	.000055	1	3227	1	18162
2beeworld	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
30daysofwar	578601744	5.618181	.000309	.000055	1	3227	1	18162
360wise	29447428	2.809090	.000309	.000110	1	3227	2	18162
3dartfinish	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
40days	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
420day	614600545	1.872727	.000309	.000165	1	3227	3	18162
4corners	2886667320	1.123636	.000309	.000275	1	3227	5	18162
50kisnotok	302984766	.561818	.000309	.000550	1	3227	10	18162
60mins	2886667320	.936363	.000309	.000330	1	3227	6	18162
64days	302984766	5.618181	.000309	.000055	1	3227	1	18162
6newsau	2886667320	2.809090	.000309	.000110	1	3227	2	18162
72days	302984766	5.618181	.000309	.000055	1	3227	1	18162
777thealbum	1471037967926018051	6.760000	.001859	.000275	6	3227	5	18162
85degreewest	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
aaaaaatrudeau	86010091	5.618181	.000309	.000055	1	3227	1	18162
aaaai2022	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
aapi	45379403	2.809090	.000309	.000110	1	3227	2	18162
aaronrodgers	614600545	1.872727	.000309	.000165	1	3227	3	18162
aaronrogers	614600545	2.809090	.000309	.000110	1	3227	2	18162
ab	118166719	1.404545	.000309	.000220	1	3227	4	18162
abba	29447428	5.618181	.000309	.000055	1	3227	1	18162
abc	2886667320	1.407954	.001239	.000880	4	3227	16	18162
abc2020	614600545	1.404545	.000309	.000220	1	3227	4	18162
abc7	614600545	5.618181	.000309	.000055	1	3227	1	18162
abc730	2886667320	.815477	.003098	.003799	10	3227	69	18162
abc7eyewitness	29447428	5.618181	.000309	.000055	1	3227	1	18162
abcnews	2886667320	.374545	.000309	.000825	1	3227	15	18162
abcovid19	118166719	5.618181	.000309	.000055	1	3227	1	18162
abed	118166719	.279931	.003098	.011067	10	3227	201	18162
aberdeen	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
abhealth	118166719	.167056	.000929	.005561	3	3227	101	18162
ableg	118166719	.315526	.013325	.042231	43	3227	767	18162
ableism	1308267623327518725	.936363	.000309	.000330	1	3227	6	18162
abndp	118166719	.936363	.000309	.000330	1	3227	6	18162
abolishnato	940778288871542786	1.872727	.000309	.000165	1	3227	3	18162
abpoli	118166719	.351728	.004028	.011452	13	3227	208	18162
abpse	118166719	.624242	.000309	.000495	1	3227	9	18162
abrahamaccords	578601744	1.872727	.000309	.000165	1	3227	3	18162
abudhabi	1308267623327518725	1.872727	.000309	.000165	1	3227	3	18162
acab	118166719	.802597	.000309	.000385	1	3227	7	18162
academyawards	118166719	5.618181	.000309	.000055	1	3227	1	18162
accessory	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
acloserlook	1921951394	11.254545	.000619	.000055	2	3227	1	18162
acmawards	614600545	2.809090	.000309	.000110	1	3227	2	18162
act	1387010761994682371	3.751515	.000619	.000165	2	3227	3	18162
actoffraud	1387010761994682371	5.630303	.000929	.000165	3	3227	3	18162
actonw3	29447428	5.618181	.000309	.000055	1	3227	1	18162
actors	45379403	5.618181	.000309	.000055	1	3227	1	18162
ada	1387010761994682371	5.630303	.000929	.000165	3	3227	3	18162
adenovirus	29447428	2.809090	.000309	.000110	1	3227	2	18162
adhd	118166719	1.123636	.000309	.000275	1	3227	5	18162
adulting	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
aeroflot	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
affordable	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
afghanistan	578601744	.375050	.000929	.002477	3	3227	45	18162
aflcia	45379403	5.618181	.000309	.000055	1	3227	1	18162
afl_cio	45379403	5.618181	.000309	.000055	1	3227	1	18162
africa	1387010761994682371	.936363	.000309	.000330	1	3227	6	18162
aft	45379403	5.618181	.000309	.000055	1	3227	1	18162
afterlife	29447428	1.689090	.000929	.000550	3	3227	10	18162
afterlife3	29447428	3.585123	.002169	.000605	7	3227	11	18162
afternoonbriefing	2886667320	.661324	.000619	.000936	2	3227	17	18162
agedcare	2886667320	1.407954	.001239	.000880	4	3227	16	18162
agenda2030	1387010761994682371	3.751515	.000619	.000165	2	3227	3	18162
agentsofshield	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
age_of_deities	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
agriculture	1387010761994682371	2.813636	.000619	.000220	2	3227	4	18162
ahmaudarbery	614600545	1.535537	.000929	.000605	3	3227	11	18162
air	1308267623327518725	5.627272	.000619	.000110	2	3227	2	18162
airandground	614600545	5.618181	.000309	.000055	1	3227	1	18162
airbnb	614600545	1.872727	.000309	.000165	1	3227	3	18162
aircanada	118166719	2.809090	.000309	.000110	1	3227	2	18162
airdrie	118166719	5.618181	.000309	.000055	1	3227	1	18162
aish	118166719	2.809090	.000309	.000110	1	3227	2	18162
alaqsa	804582780298412032	.591778	.000619	.001046	2	3227	19	18162
alberta	118166719	.351627	.000929	.002642	3	3227	48	18162
albertans	118166719	1.872727	.000309	.000165	1	3227	3	18162
albo	2886667320	2.111363	.000929	.000440	3	3227	8	18162
albo4pm	2886667320	.661324	.000619	.000936	2	3227	17	18162
alboforpm	2886667320	.717664	.005887	.008203	19	3227	149	18162
aldgate	29447428	5.618181	.000309	.000055	1	3227	1	18162
aldi	29447428	5.618181	.000309	.000055	1	3227	1	18162
aleppo	578601744	1.123636	.000309	.000275	1	3227	5	18162
alert	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
alexandermalofeev	45379403	5.627272	.000619	.000110	2	3227	2	18162
alhol	578601744	5.618181	.000309	.000055	1	3227	1	18162
allcolorsallculturesallcreeds	29447428	5.618181	.000309	.000055	1	3227	1	18162
allthehappysmiles	118166719	5.618181	.000309	.000055	1	3227	1	18162
almaty	578601744	1.404545	.000309	.000220	1	3227	4	18162
alp	2886667320	.936363	.000309	.000330	1	3227	6	18162
alpacas	614600545	2.809090	.000309	.000110	1	3227	2	18162
alqaeda	45379403	5.627272	.000619	.000110	2	3227	2	18162
